date,species,lat,long,barangay_psgc,barangay_name,adm3_psgc,adm2_psgc,adm1_psgc,area_km2
2022/01/20,Naja samarensis,11.7765231,124.3485946,807807016.0,Ermita,807807000.0,807800000.0,800000000.0,1.0
2022/04/01,Naja samarensis,7.0394755,122.0294403,931700005.0,Baluno,931700000.0,931700000.0,900000000.0,33.0
2022/04/29,Naja samarensis,7.4243343,125.8267362,1102319001.0,Apokon,1102319000.0,1102300000.0,1100000000.0,7.0
2022/05/02,Naja samarensis,7.3826395,125.808718,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/05/02,Naja samarensis,7.3826395,125.808718,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/05/02,Naja samarensis,7.3826395,125.808718,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/05/02,Naja samarensis,7.3826395,125.808718,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/05/02,Naja samarensis,7.3493823,125.7927303,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/05/02,Naja samarensis,7.3784662,125.8081598,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/04/30,Naja samarensis,7.3784662,125.8081598,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2022/07/30,Naja samarensis,7.6734241,125.9875861,1108208011.0,Linoan,1108208000.0,1108200000.0,1100000000.0,14.0
2023/02/02,Naja samarensis,8.9463749,125.5350316,1630400051.0,Lapu-lapu Pob.,1630400000.0,1630400000.0,1600000000.0,0.0
2023/02/25,Naja samarensis,6.6735002,124.2847815,1206503037.0,Salumping,1206503000.0,1206500000.0,1200000000.0,99.0
2022/04/01,Naja samarensis,7.0394755,122.0294403,931700005.0,Baluno,931700000.0,931700000.0,900000000.0,33.0
2023/05/01,Naja samarensis,9.8708163,124.4291161,701202005.0,Del Monte,701202000.0,701200000.0,700000000.0,3.0
2023/11/19,Naja samarensis,7.1485828,124.2795867,1908705014.0,Dulangan,1908705000.0,1908700000.0,1900000000.0,3.0
2024/04/28,Naja samarensis,7.4470784,125.8094853,1102319023.0,Magugpo East,1102319000.0,1102300000.0,1100000000.0,2.0
2024/04/28,Naja samarensis,7.3493823,125.7927303,1102319009.0,Madaum,1102319000.0,1102300000.0,1100000000.0,29.0
2024/04/28,Naja samarensis,7.4470784,125.8094853,1102319023.0,Magugpo East,1102319000.0,1102300000.0,1100000000.0,2.0
2024/04/28,Naja samarensis,7.4470784,125.8094853,1102319023.0,Magugpo East,1102319000.0,1102300000.0,1100000000.0,2.0
2024/04/28,Naja samarensis,7.4826759,125.8372408,1102319010.0,Magdum,1102319000.0,1102300000.0,1100000000.0,7.0
2024/04/28,Naja samarensis,7.4487349,125.8124724,1102319023.0,Magugpo East,1102319000.0,1102300000.0,1100000000.0,2.0
2024/04/28,Naja samarensis,7.45522,125.8089039,1102319026.0,Magugpo West,1102319000.0,1102300000.0,1100000000.0,1.0
2024/04/26,Naja samarensis,7.2670902,125.6650099,1130700056.0,Alejandra Navarro,1130700000.0,1130700000.0,1100000000.0,7.0
2024/05/06,Naja samarensis,9.8196011,124.495277,701211016.0,Poblacion,701211000.0,701200000.0,700000000.0,5.0
2024/06/25,Naja samarensis,9.9740201,124.5660882,701246017.0,Cuya,701246000.0,701200000.0,700000000.0,0.0
2024/06/09,Naja samarensis,6.7058672,126.0957527,1102510007.0,La Union,1102510000.0,1102500000.0,1100000000.0,34.0
2024/07/28,Naja samarensis,8.5319779,126.0676889,1606801001.0,Amaga,1606801000.0,1606800000.0,1600000000.0,5.0
2024/08/01,Naja samarensis,7.4538943,125.8172455,1102319023.0,Magugpo East,1102319000.0,1102300000.0,1100000000.0,2.0
2024/07/22,Naja samarensis,9.7492646,124.5686466,701203015.0,Tawid,701203000.0,701200000.0,700000000.0,1.0
2024/09/21,Naja samarensis,7.1485828,124.2795867,1908705014.0,Dulangan,1908705000.0,1908700000.0,1900000000.0,3.0
2024/07/28,Naja samarensis,9.7367582321167,123.8507308959961,701232004.0,Anislag,701232000.0,701200000.0,700000000.0,0.0
2024/04/01,Naja philippinensis,13.4799679,123.3434495,501701016.0,San Isidro,501701000.0,501700000.0,500000000.0,3.0
2013/06/02,Naja philippinensis,16.4706719,120.7771437,1401104001.0,Ambuclao,1401104000.0,1401100000.0,1400000000.0,72.0
2020/09/24,Naja philippinensis,13.4992813,120.9682709,1705211004.0,Palangan,1705211000.0,1705200000.0,1700000000.0,1.0
2023/01/12,Naja philippinensis,13.7238873,123.1665243,501708001.0,Balatasan,501708000.0,501700000.0,500000000.0,6.0
2015/07/05,Naja philippinensis,16.5331234,121.0277675,205001007.0,Poblacion,205001000.0,205000000.0,200000000.0,13.0
2017/08/27,Naja philippinensis,14.3863813,120.9017738,402108016.0,Navarro,402108000.0,402100000.0,400000000.0,5.0
2024/03/29,Naja philippinensis,12.603639,124.1055269,506212035.0,Santa Isabel,506212000.0,506200000.0,500000000.0,3.0
2024/07/27,Naja philippinensis,16.5629704,121.1296962,205013021.0,Communal,205013000.0,205000000.0,200000000.0,14.0
2023/06/30,Naja philippinensis,14.1507795,120.956479,402118020.0,Lalaan II,402118000.0,402100000.0,400000000.0,3.0
2013/07/22,Naja philippinensis,12.8283538,120.9071025,1705109023.0,Malisbong,1705109000.0,1705100000.0,1700000000.0,326.0
2013/06/02,Naja philippinensis,16.4706719,120.7771437,1401104001.0,Ambuclao,1401104000.0,1401100000.0,1400000000.0,72.0
2015/07/05,Naja philippinensis,16.5331234,121.0277675,205001007.0,Poblacion,205001000.0,205000000.0,200000000.0,13.0
2017/08/27,Naja philippinensis,14.3863813,120.9017738,402108016.0,Navarro,402108000.0,402100000.0,400000000.0,5.0
2020/09/24,Naja philippinensis,13.4992813,120.9682709,1705211004.0,Palangan,1705211000.0,1705200000.0,1700000000.0,1.0
2022/08/06,Naja philippinensis,17.013775,120.4558584,102924013.0,Casilagan,102924000.0,102900000.0,100000000.0,3.0
2023/01/12,Naja philippinensis,13.7238873,123.1665243,501708001.0,Balatasan,501708000.0,501700000.0,500000000.0,6.0
2023/06/30,Naja philippinensis,14.1507795,120.956479,402118020.0,Lalaan II,402118000.0,402100000.0,400000000.0,3.0
2024/03/29,Naja philippinensis,12.603639,124.1055269,506212035.0,Santa Isabel,506212000.0,506200000.0,500000000.0,3.0
2024/04/01,Naja philippinensis,13.4799679,123.3434495,501701016.0,San Isidro,501701000.0,501700000.0,500000000.0,3.0
2024/05/09,Naja philippinensis,13.7265745,123.2117111,501708028.0,Sabang,501708000.0,501700000.0,500000000.0,1.0
2024/07/27,Naja philippinensis,16.5629704,121.1296962,205013021.0,Communal,205013000.0,205000000.0,200000000.0,14.0
2025/10/13,Ophiophagus hannah,13.4452664,121.840186,1704001061.0,Isok I,1704001000.0,1704000000.0,1700000000.0,0.0
2025/10/13,Naja samarensis,10.6618434,122.3113272,603020033.0,Santa Rosa-Laguna,603020000.0,603000000.0,600000000.0,0.0
2025/10/14,Naja philippinensis,13.6428216,123.3282338,501728026.0,Tinangis,501728000.0,501700000.0,500000000.0,10.0
2025/10/14,Naja philippinensis,15.916667,120.333333,105532078.0,San Juan,105532000.0,105500000.0,100000000.0,2.0
2025/10/14,Naja philippinensis,14.0700502,121.3255974,403424031.0,Barangay VII-C,403424000.0,403400000.0,400000000.0,0.0
2025/10/14,Ophiophagus hannah,17.2659982,121.1482339,1403215014.0,Poblacion,1403215000.0,1403200000.0,1400000000.0,7.0
2025/10/14,Ophiophagus hannah,14.2366649,121.0570798,403428020.0,Santo Domingo,403428000.0,403400000.0,400000000.0,6.0
2025/10/14,Ophiophagus hannah,16.2351501,120.5177289,1401113002.0,Camp One,1401113000.0,1401100000.0,1400000000.0,20.0
2025/10/14,Naja philippinensis,14.4355997,120.4903355,300807008.0,Poblacion,300807000.0,300800000.0,300000000.0,0.0
2025/10/14,Ophiophagus hannah,10.484,123.4203,604524013.0,Barangay IV,604524000.0,604500000.0,600000000.0,0.0
2025/10/14,Naja philippinensis,15.916667,120.333333,105532078.0,San Juan,105532000.0,105500000.0,100000000.0,2.0
2025/10/14,Ophiophagus hannah,16.3914127,119.8942613,105514011.0,Germinal,105514000.0,105500000.0,100000000.0,1.0
2025/10/14,Ophiophagus hannah,16.4908636,120.8298308,1401104009.0,Poblacion,1401104000.0,1401100000.0,1400000000.0,41.0
2025/10/15,Ophiophagus hannah,14.2015402,121.0370618,403404006.0,Casile,403404000.0,403400000.0,400000000.0,9.0
2025/10/15,Naja philippinensis,17.0425835,120.5804799,102929001.0,Abaccan,102929000.0,102900000.0,100000000.0,2.0
2025/10/15,Ophiophagus hannah,9.833333,124.1615579,701212018.0,Montevideo,701212000.0,701200000.0,700000000.0,5.0
2025/10/15,Naja philippinensis,13.2570425,123.5001669,500512026.0,Iraya Norte,500512000.0,500500000.0,500000000.0,0.0
2025/10/15,Naja philippinensis,16.0445993,120.6912142,105535001.0,San Antonio-Arzadon,105535000.0,105500000.0,100000000.0,4.0
2025/10/15,Ophiophagus hannah,17.8657434,120.4571865,102930002.0,Ballaigui,102930000.0,102900000.0,100000000.0,0.0
2025/10/15,Ophiophagus hannah,8.7179134,125.7511102,1600301016.0,Poblacion,1600301000.0,1600300000.0,1600000000.0,4.0
2025/10/15,Naja samarensis,9.455,125.57306,1600206011.0,Songkoy,1600206000.0,1600200000.0,1600000000.0,2.0
2025/10/15,Naja philippinensis,15.0923632,120.8272514,305405029.0,San Agustin,305405000.0,305400000.0,300000000.0,13.0
2025/10/15,Ophiophagus hannah,11.9985507,120.2051611,1705309017.0,Barangay II,1705309000.0,1705300000.0,1700000000.0,0.0
2025/10/15,Ophiophagus hannah,16.3927028,120.5602008,1401113007.0,Poblacion,1401113000.0,1401100000.0,1400000000.0,35.0
2025/10/15,Ophiophagus hannah,16.4208399,120.6637916,1401106004.0,Loacan,1401106000.0,1401100000.0,1400000000.0,48.0
2025/10/15,Naja samarensis,18.1888705,120.547657,102812084.0,"Bgy. No. 44, Zamboanga",102812000.0,102800000.0,100000000.0,2.0
2025/10/15,Ophiophagus hannah,16.410252,120.5634861,1430300050.0,Irisan,1430300000.0,1430300000.0,1400000000.0,6.0
2025/10/15,Naja philippinensis,16.3890851,121.1006258,205004012.0,Homestead,205004000.0,205000000.0,200000000.0,1.0
2025/10/14,Ophiophagus hannah,13.4452664,121.840186,1704001061.0,Isok I,1704001000.0,1704000000.0,1700000000.0,0.0
2025/10/15,Ophiophagus hannah,9.6506355,123.3244023,702229015.0,Barangay I,702229000.0,702200000.0,700000000.0,0.0
2025/10/15,Ophiophagus hannah,16.8377827,121.0054468,1402702011.0,Poblacion,1402702000.0,1402700000.0,1400000000.0,36.0
2025/10/15,Naja samarensis,6.2855239,124.9333096,1206317014.0,Polonuling,1206317000.0,1206300000.0,1200000000.0,29.0
2025/10/15,Ophiophagus hannah,16.87,121.22,1402701007.0,Banao,1402701000.0,1402700000.0,1400000000.0,19.0
2025/10/15,Ophiophagus hannah,11.4226108,122.0530503,600606033.0,Centro Sur,600606000.0,600600000.0,600000000.0,0.0
2025/10/15,Ophiophagus hannah,10.9541711,122.0522609,600612025.0,Samalague,600612000.0,600600000.0,600000000.0,3.0
2025/10/15,Ophiophagus hannah,9.7809304,123.8981433,701204014.0,Poblacion,701204000.0,701200000.0,700000000.0,1.0
2025/10/15,Naja samarensis,6.5556705,124.3271496,1206504005.0,Bual,1206504000.0,1206500000.0,1200000000.0,157.0
2025/10/15,Naja philippinensis,15.583333,121.0,304909020.0,Pula,304909000.0,304900000.0,300000000.0,5.0
2025/10/15,Ophiophagus hannah,10.4299251,123.8479649,730600082.0,Taptap,730600000.0,730600000.0,700000000.0,7.0
2025/10/15,Naja philippinensis,15.6186508,120.7249819,304911007.0,Balingog West,304911000.0,304900000.0,300000000.0,1.0
2025/10/15,Ophiophagus hannah,11.1645444,119.3984299,1705312005.0,Corong-corong Pob.,1705312000.0,1705300000.0,1700000000.0,21.0
2025/10/15,Ophiophagus hannah,10.9522168,122.5799456,603031019.0,Talibong Pequeño,603031000.0,603000000.0,600000000.0,1.0
2025/10/15,Naja samarensis,18.1888705,120.547657,102812084.0,"Bgy. No. 44, Zamboanga",102812000.0,102800000.0,100000000.0,2.0
2025/10/15,Naja philippinensis,16.4389233,120.7324734,1401104001.0,Ambuclao,1401104000.0,1401100000.0,1400000000.0,72.0
2025/10/15,Naja philippinensis,17.0,122.0,203131024.0,Old San Mariano,203131000.0,203100000.0,200000000.0,12.0
2025/10/15,Naja philippinensis,14.5780161,121.1163072,405805014.0,San Andres,405805000.0,405800000.0,400000000.0,4.0
2025/10/15,Naja philippinensis,18.2508484,120.6128386,102802046.0,Santa Rita,102802000.0,102800000.0,100000000.0,0.0
2025/10/15,Naja philippinensis,16.3890851,121.1006258,205004012.0,Homestead,205004000.0,205000000.0,200000000.0,1.0
2025/10/15,Naja samarensis,6.9595701,125.0891183,1204707029.0,Poblacion,1204707000.0,1204700000.0,1200000000.0,8.0
2025/10/15,Naja philippinensis,17.0678152,121.6936012,203105004.0,Caliguian,203105000.0,203100000.0,200000000.0,17.0
2025/10/15,Naja samarensis,8.0609053,123.7512585,1004215012.0,Barangay I - City Hall,1004215000.0,1004200000.0,1000000000.0,0.0
2025/10/15,Naja philippinensis,13.6981652,123.5181339,501733023.0,San Juan,501733000.0,501700000.0,500000000.0,0.0
2025/10/15,Naja philippinensis,16.5735957,120.4089899,103311039.0,Tuddingan,103311000.0,103300000.0,100000000.0,3.0
2025/10/15,Naja samarensis,11.0052935,124.6090753,803738116.0,Barangay South,803738000.0,803700000.0,800000000.0,0.0
2025/10/15,Naja samarensis,11.7982219,125.1690418,806022044.0,Tenani,806022000.0,806000000.0,800000000.0,32.0
2025/10/15,Naja samarensis,8.4756417,124.6421532,1030500073.0,Barangay 1,1030500000.0,1030500000.0,1000000000.0,0.0
2025/10/15,Naja samarensis,8.9474561,125.5431973,1630400089.0,Urduja Pob.,1630400000.0,1630400000.0,1600000000.0,0.0
2025/10/15,Naja samarensis,10.7841157,124.892321,803724004.0,Binulho,803724000.0,803700000.0,800000000.0,17.0
2025/10/15,Naja philippinensis,14.4828116,121.2055112,405804035.0,Tatala,405804000.0,405800000.0,400000000.0,3.0
2025/10/15,Naja philippinensis,15.926773,120.3475584,105532016.0,Bugallon-Posadas Street,105532000.0,105500000.0,100000000.0,0.0
2025/10/15,Naja samarensis,8.4756417,124.6421532,1030500073.0,Barangay 1,1030500000.0,1030500000.0,1000000000.0,0.0
2025/10/15,Naja philippinensis,14.2571746,120.9246782,402108014.0,Javalera,402108000.0,402100000.0,400000000.0,8.0
2025/10/15,Naja philippinensis,14.6436031,120.4657622,300803020.0,Tanato,300803000.0,300800000.0,300000000.0,9.0
2025/10/15,Naja samarensis,6.7985631,124.6345922,1206508020.0,Poblacion,1206508000.0,1206500000.0,1200000000.0,7.0
2025/10/15,Naja philippinensis,16.35,121.13,205004011.0,Dullao,205004000.0,205000000.0,200000000.0,23.0
2025/10/15,Naja samarensis,9.1141098,125.5517363,1600203019.0,Mabini,1600203000.0,1600200000.0,1600000000.0,5.0
2025/10/15,Naja philippinensis,16.283333,121.583333,205704038.0,Jose Ancheta,205704000.0,205700000.0,200000000.0,85.0
2025/10/15,Naja philippinensis,14.412637,121.4477847,403429022.0,Wawa,403429000.0,403400000.0,400000000.0,2.0
2025/10/15,Naja philippinensis,14.8312558,121.0842872,301420009.0,Santo Cristo,301420000.0,301400000.0,300000000.0,6.0
2025/10/15,Naja philippinensis,13.2371495,123.7774835,500516011.0,San Vicente Pob.,500516000.0,500500000.0,500000000.0,0.0
2025/10/15,Naja samarensis,6.6850678,124.9614497,1206502023.0,Poblacion,1206502000.0,1206500000.0,1200000000.0,8.0
2025/10/15,Naja samarensis,6.2855239,124.9333096,1206317014.0,Polonuling,1206317000.0,1206300000.0,1200000000.0,29.0
2025/10/15,Naja philippinensis,14.3969995,121.4067025,403421002.0,Dambo,403421000.0,403400000.0,400000000.0,3.0
2025/10/16,Naja philippinensis,13.5385836,123.2851799,501728001.0,Anayan,501728000.0,501700000.0,500000000.0,2.0
2025/10/16,Naja philippinensis,15.583333,121.0,304909020.0,Pula,304909000.0,304900000.0,300000000.0,5.0
2025/10/16,Naja samarensis,6.5004041,124.8435437,1206306018.0,Zone III,1206306000.0,1206300000.0,1200000000.0,3.0
2025/10/16,Ophiophagus hannah,14.0505406,120.9332537,401011017.0,Barangay 2,401011000.0,401000000.0,400000000.0,0.0
2025/10/16,Ophiophagus hannah,6.6983658,125.3612135,1102404013.0,Leling,1102404000.0,1102400000.0,1100000000.0,8.0
2025/10/16,Naja philippinensis,13.2402789,123.5365227,500508023.0,Dunao,500508000.0,500500000.0,500000000.0,0.0
2025/10/16,Naja samarensis,9.824334,124.1983784,701212005.0,Calatrava,701212000.0,701200000.0,700000000.0,3.0
2025/10/16,Ophiophagus hannah,10.7841157,124.892321,803724004.0,Binulho,803724000.0,803700000.0,800000000.0,17.0
2025/10/16,Naja samarensis,12.1490458,124.5375762,806003023.0,Cabugawan,806003000.0,806000000.0,800000000.0,3.0
2025/10/16,Ophiophagus hannah,16.52,120.69,1401101002.0,Caliking,1401101000.0,1401100000.0,1400000000.0,24.0
2025/10/16,Ophiophagus hannah,10.47,123.83,702208025.0,Sunog,702208000.0,702200000.0,700000000.0,18.0
2025/10/16,Naja samarensis,10.7841157,124.892321,803724004.0,Binulho,803724000.0,803700000.0,800000000.0,17.0
2025/10/16,Naja samarensis,7.0801636,125.5437938,1130700030.0,Catalunan Grande,1130700000.0,1130700000.0,1100000000.0,16.0
2025/10/16,Naja philippinensis,13.9221715,122.0991276,405619041.0,San Diego Poblacion,405619000.0,405600000.0,400000000.0,0.0
2025/10/16,Naja philippinensis,15.4905045,120.9684264,304903077.0,Sangitan,304903000.0,304900000.0,300000000.0,0.0
2025/10/16,Ophiophagus hannah,10.5873302,124.0180859,702215016.0,Poblacion,702215000.0,702200000.0,700000000.0,0.0
2025/10/16,Naja philippinensis,17.4994886,121.5956717,1403211007.0,Liwan West,1403211000.0,1403200000.0,1400000000.0,31.0
2025/10/16,Naja philippinensis,15.916667,120.333333,105532078.0,San Juan,105532000.0,105500000.0,100000000.0,2.0
2025/10/16,Ophiophagus hannah,18.0251369,121.1187221,1408104018.0,Musimut,1408104000.0,1408100000.0,1400000000.0,150.0
2025/10/16,Naja philippinensis,14.0369842,120.6528224,401013019.0,Barangay 4,401013000.0,401000000.0,400000000.0,0.0
2025/10/16,Ophiophagus hannah,10.6744469,122.3761115,603045016.0,Barangay 9,603045000.0,603000000.0,600000000.0,0.0
2025/10/16,Ophiophagus hannah,16.4977556,120.4872447,1401112011.0,Poblacion,1401112000.0,1401100000.0,1400000000.0,6.0
2025/10/16,Naja philippinensis,13.7843507,121.3858031,401023034.0,Sampiro,401023000.0,401000000.0,400000000.0,2.0
2025/10/16,Ophiophagus hannah,14.1795327,120.8818696,402110034.0,Kayquit II,402110000.0,402100000.0,400000000.0,1.0
2025/10/16,Naja philippinensis,15.3248528,120.6553857,306905035.0,San Nicolas,306905000.0,306900000.0,300000000.0,0.0
2025/10/10,Naja samarensis,7.0648306,125.6080623,1130700135.0,Barangay 2-A,1130700000.0,1130700000.0,1100000000.0,0.0
2025/10/16,Ophiophagus hannah,10.9522168,122.5799456,603031019.0,Talibong Pequeño,603031000.0,603000000.0,600000000.0,1.0
2025/10/16,Ophiophagus hannah,6.2015121,125.1878084,1230800006.0,Conel,1230800000.0,1230800000.0,1200000000.0,52.0
2025/10/10,Naja samarensis,8.1844569,126.3522969,1606803009.0,Mangagoy,1606803000.0,1606800000.0,1600000000.0,3.0
2025/10/10,Naja samarensis,9.7483656,125.4818383,1606724026.0,Luna,1606724000.0,1606700000.0,1600000000.0,6.0
2025/10/10,Naja philippinensis,17.11,121.16,1404401006.0,Lias Kanluran,1404401000.0,1404400000.0,1400000000.0,51.0
2025/10/10,Naja philippinensis,15.5403458,120.7634483,304914004.0,Poblacion Sur,304914000.0,304900000.0,300000000.0,0.0
2025/10/10,Naja philippinensis,15.583333,121.0,304909020.0,Pula,304909000.0,304900000.0,300000000.0,5.0
2025/10/11,Ophiophagus hannah,9.833333,124.1615579,701212018.0,Montevideo,701212000.0,701200000.0,700000000.0,5.0
2025/10/11,Naja samarensis,7.1902484,125.4524905,1130700026.0,Calinan,1130700000.0,1130700000.0,1100000000.0,9.0
2025/10/11,Ophiophagus hannah,16.5935291,121.5024247,205703001.0,Andres Bonifacio,205703000.0,205700000.0,200000000.0,3.0
2025/10/12,Naja philippinensis,14.2347317,121.3640614,403422004.0,Bulilan Norte,403422000.0,403400000.0,400000000.0,0.0
2025/10/13,Naja samarensis,10.7841157,124.892321,803724004.0,Binulho,803724000.0,803700000.0,800000000.0,17.0
2025/10/13,Naja philippinensis,13.4342347,123.5171171,501705023.0,San Buenaventura,501705000.0,501700000.0,500000000.0,0.0
2025/10/13,Naja samarensis,7.27,124.86,1999902006.0,Simone,1999902000.0,1999900000.0,1900000000.0,26.0
2025/10/13,Naja samarensis,14.3857775,120.9289035,402109059.0,Malagasang I-D,402109000.0,402100000.0,400000000.0,0.0
2025/10/13,Naja samarensis,7.45,126.07,1108209028.0,Bukal,1108209000.0,1108200000.0,1100000000.0,54.0
