barangay_psgc,predicted_abundance,HSI
102802046,0.002679621,0.6185854
102804012,0.0012787612,0.19668628
102805018,0.002630571,0.6038129
102809016,0.0023140777,0.50849414
102812061,0.0026805196,0.618856
102812062,0.0025313424,0.57392806
102812084,0.0027468752,0.6388404
102817019,0.00078654586,0.048445046
102818010,0.0019624506,0.40259403
102820023,0.0024966816,0.56348926
102821020,0.0025760059,0.58737946
102823050,0.0027275109,0.6330084
102902015,0.0012256374,0.1806869
102905026,0.0023668709,0.5243939
102906039,0.0008217578,0.05904989
102908002,0.00077378564,0.04460202
102909005,0.0018120407,0.35729486
102910008,0.00070284196,0.023235813
102914030,0.0015982877,0.29291856
102916017,0.001131494,0.15233357
102918006,0.0008484763,0.067096725
102924013,0.0011505744,0.15808009
102924032,0.0008032743,0.053483173
102926005,0.0015449864,0.27686572
102929001,0.0010018456,0.113287196
102930002,0.002793901,0.6530032
102934003,0.002955507,0.70167434
102934040,0.0029042147,0.68622655
103302010,0.0018458961,0.3674912
103311039,0.0011056836,0.14456023
103314007,0.000897457,0.08184831
103319010,0.00088877516,0.0792336
105502011,0.0034998646,0.86561936
105503021,0.003269079,0.7961133
105509013,0.0030480027,0.7295314
105513026,0.0033925374,0.8332954
105514011,0.00212112,0.45038074
105517019,0.0027810617,0.6491364
105523016,0.003256295,0.79226315
105524062,0.003084877,0.74063694
105527070,0.0028160035,0.65965986
105528014,0.002505613,0.5661791
105529011,0.0016405158,0.30563647
105532016,0.0033005283,0.8055849
105532078,0.003772523,0.9477363
105535001,0.002742212,0.637436
105536020,0.000847772,0.06688462
105537023,0.0016796532,0.31742352
105538028,0.0026438849,0.60782266
105539015,0.0026594459,0.6125092
105541006,0.0010500402,0.12780206
105541024,0.0011302904,0.15197112
105542011,0.0027793015,0.6486063
105542014,0.0021153379,0.44863933
105543005,0.0018055188,0.35533065
105544047,0.0021737348,0.46622688
105546027,0.002471029,0.5557634
105546032,0.0021037217,0.4451409
105547002,0.0028687462,0.67554444
201501007,0.0009974929,0.11197628
201505020,0.0011648111,0.16236775
201507008,0.0011850622,0.16846682
201511008,0.001538909,0.27503538
201513052,0.0010780017,0.13622324
201519017,0.0008263729,0.06043981
201520019,0.00085602864,0.06937127
201528032,0.0008573003,0.06975426
201529013,0.001574748,0.28582907
201529018,0.0010221523,0.11940299
201529024,0.0009656532,0.102387086
203101002,0.0013886677,0.229787
203103027,0.00082167325,0.05902441
203105004,0.0012058244,0.1747198
203106018,0.0009408727,0.0949239
203107021,0.0011033742,0.1438647
203109007,0.0008487205,0.06717028
203112066,0.001182892,0.16781323
203114067,0.0012705433,0.19421129
203114100,0.001286877,0.19913052
203119007,0.0007785402,0.04603398
203120013,0.0010144763,0.117091194
203123014,0.0011789042,0.1666122
203127008,0.0008853987,0.07821672
203131024,0.0020782992,0.43748438
203131029,0.0014141864,0.23747249
203132019,0.0010858944,0.1386003
203134012,0.0011230112,0.14977883
203135025,0.00095233234,0.098375216
203137031,0.0013494911,0.21798809
205004011,0.0015991257,0.29317093
205004012,0.0009936654,0.11082356
205005017,0.0007277125,0.03072612
205005021,0.00074416737,0.035681844
205007019,0.0006262487,0.0001681149
205008018,0.0006258877,5.9381127e-05
205011001,0.00091494067,0.0871139
205013013,0.0007634588,0.04149188
205013014,0.00081398635,0.056709334
205013021,0.00088031264,0.07668494
205701005,0.0008093171,0.055303097
205703001,0.0006485177,0.006874889
205704038,0.0009880945,0.109145746
300802016,0.0014295146,0.2420889
300803005,0.0013760015,0.22597228
300803013,0.0013778649,0.22653349
300803020,0.001677192,0.31668234
300806009,0.0012822691,0.19774278
300807001,0.0018507167,0.36894298
300807008,0.0010096646,0.115642056
300809016,0.0011141318,0.14710458
300810001,0.0011446858,0.15630658
300812004,0.002589684,0.5914989
301401014,0.0014365577,0.24421011
301407021,0.002256757,0.4912308
301408010,0.0021273042,0.45224327
301412020,0.002207292,0.47633332
301413022,0.001266784,0.1930791
301414009,0.0023277723,0.51261854
301415016,0.001546858,0.2774294
301418003,0.0020356649,0.4246441
301419026,0.0019079559,0.38618177
301419033,0.0018634625,0.3727817
301420009,0.0017672552,0.3438068
301420062,0.0013601307,0.22119246
301421037,0.0016162237,0.29832035
301423016,0.0013554279,0.21977611
301423017,0.0018668565,0.37380385
301424004,0.0013473785,0.21735184
301424006,0.0017096082,0.32644516
304901021,0.002349476,0.51915514
304902021,0.0018073261,0.35587496
304903046,0.0022872102,0.5004024
304903077,0.0025852302,0.5901575
304905030,0.0008081157,0.054941267
304905053,0.00092437613,0.08995558
304906018,0.0025727723,0.5864056
304907004,0.0008935935,0.08068474
304908013,0.0022299527,0.48315805
304909019,0.002159177,0.46184248
304909020,0.0033774527,0.82875234
304910017,0.0012828459,0.19791646
304911007,0.0029350496,0.6955132
304911060,0.0024830003,0.5593688
304913016,0.0019590182,0.4015603
304913020,0.0018393807,0.36552894
304914004,0.0024396984,0.54632753
304916003,0.0018203212,0.35978872
304916021,0.0019241645,0.3910634
304917029,0.0022676825,0.4945212
304919020,0.0022667674,0.49424565
304920012,0.0014246851,0.2406344
304926019,0.0018328059,0.36354876
304926024,0.002160243,0.4621635
304926035,0.0018623087,0.3724342
304926039,0.0019291322,0.39255947
304932004,0.0023918452,0.5319155
