barangay_psgc,predicted_abundance,HSI
102802046,-0.00019028063,0.10269445
102804012,-0.00014168814,0.15167187
102805018,-0.00018648493,0.10652022
102809016,-0.0001925479,0.100409225
102812061,-0.00018833857,0.1046519
102812062,-0.00018833857,0.1046519
102812084,0.0005346878,0.83340585
102817019,-0.00019980453,0.09309511
102818010,-0.0002340036,0.058625117
102820023,-0.00019677386,0.09614979
102821020,-0.0001841594,0.10886417
102823050,-0.00018996591,0.10301167
102902015,-0.00017451552,0.118584454
102905026,-0.00018833857,0.1046519
102906039,-0.00018833857,0.1046519
102908002,-0.00022524042,0.06745772
102909005,-0.0001776981,0.115376666
102910008,-0.00019807229,0.09484108
102914030,-0.00018833857,0.1046519
102916017,-0.00017512796,0.11796716
102918006,-0.0001912707,0.10169655
102924013,-0.00022096606,0.071765944
102924032,-0.00019088598,0.10208431
102926005,-0.00018837412,0.10461606
102929001,-0.00022946972,0.063194916
102930002,-0.00018833857,0.1046519
102934003,-0.00018833857,0.1046519
102934040,-0.00018833857,0.1046519
103302010,-0.00023201165,0.060632855
103311039,-0.00016792843,0.12522373
103314007,-8.292999e-05,0.21089551
103319010,-0.00010139632,0.19228289
105502011,-0.00018833857,0.1046519
105503021,-0.00018833857,0.1046519
105509013,-0.00018833857,0.1046519
105513026,-0.00019667814,0.09624626
105514011,-0.00019360392,0.099344835
105517019,-0.00018833857,0.1046519
105523016,-0.00019126125,0.10170607
105524062,-0.00018833857,0.1046519
105527070,-0.00018997853,0.10299894
105528014,-0.00018833857,0.1046519
105529011,-0.00018858412,0.104404405
105532016,-0.00018843832,0.10455136
105532078,-0.00018833857,0.1046519
105535001,-0.00019478245,0.09815697
105536020,-0.00018833857,0.1046519
105537023,-0.00018833857,0.1046519
105538028,-2.8486154e-05,0.2657706
105539015,-0.00019378132,0.099166036
105541006,-0.00019655704,0.09636833
105541024,-0.00018837517,0.104615
105542011,-0.00021322854,0.07956475
105542014,-0.00022896436,0.06370428
105543005,-0.00018834643,0.10464397
105544047,-0.00018833857,0.1046519
105546027,-0.00016461355,0.12856486
105546032,-0.00018833857,0.1046519
105547002,-0.00018835679,0.10463354
201501007,-0.00021103304,0.08177765
201505020,-0.00021586515,0.07690726
201507008,-0.00019806535,0.09484807
201511008,-0.00019607057,0.09685865
201513052,-0.00023115023,0.061501086
201519017,-0.0002414252,0.051144734
201520019,-0.00020635106,0.08649671
201528032,-0.00018833857,0.1046519
201529013,-0.00022543906,0.06725751
201529018,-0.00018834021,0.104650244
201529024,-0.0001970497,0.09587176
203101002,-0.00018833857,0.1046519
203103027,-0.000117005075,0.17655048
203105004,-0.00018871525,0.10427223
203106018,0.000103615894,0.39891917
203107021,-0.00019198861,0.100972936
203109007,-0.00019363796,0.09931053
203112066,-0.00018837344,0.10461676
203114067,-0.0002048478,0.088011876
203114100,-0.00018833857,0.1046519
203119007,-0.00022583647,0.06685695
203120013,-0.00019747857,0.09543949
203123014,-0.00017103068,0.122096896
203127008,-0.00022936989,0.06329553
203131024,-0.00020844556,0.08438562
203131029,-0.00016890586,0.12423855
203132019,-0.00019096666,0.10200299
203134012,-0.00023041939,0.062237725
203135025,-0.0001883476,0.10464279
203137031,-0.00019809857,0.09481458
205004011,-0.00025115814,0.04133469
205004012,-0.00018833857,0.1046519
205005017,-0.00018833857,0.1046519
205005021,-0.00018833857,0.1046519
205007019,-0.0002454984,0.047039255
205008018,-0.00019872148,0.09418674
205011001,-0.00023980388,0.0527789
205013013,-0.0001941076,0.09883717
205013014,-0.00019539215,0.09754245
205013021,-0.00020392853,0.08893843
205701005,-0.00016566896,0.1275011
205703001,-0.00018833857,0.1046519
205704038,-0.00022225313,0.07046868
300802016,-0.00018337928,0.10965048
300803005,-0.00020869423,0.084134996
300803013,-0.00018833857,0.1046519
300803020,-0.00024727042,0.045253202
300806009,-0.00013964991,0.15372625
300807001,-0.00020390727,0.08895986
300807008,-0.00018777818,0.10521673
300809016,-0.00019166339,0.10130073
300810001,-0.00019166339,0.10130073
300812004,-0.00023372451,0.05890642
301401014,-0.0001648674,0.12830901
301407021,-0.00017961688,0.113442674
301408010,-0.00018833857,0.1046519
301412020,-0.00018833857,0.1046519
301413022,-0.00019967734,0.0932233
301414009,-0.00016299817,0.13019304
301415016,-0.00019722464,0.095695436
301418003,-0.00018898236,0.10400301
301419026,-0.00018833857,0.1046519
301419033,-0.00018833857,0.1046519
301420009,-0.00018091623,0.112133026
301420062,-0.00018833857,0.1046519
301421037,-0.00018833857,0.1046519
301423016,-0.00019457898,0.09836204
301423017,-0.00019376545,0.09918204
301424004,-0.00026917804,0.02317205
301424006,-0.0002513662,0.04112497
304901021,-0.00018833857,0.1046519
304902021,-0.00018833857,0.1046519
304903046,-0.00018833857,0.1046519
304903077,-0.00018833857,0.1046519
304905030,-0.00023860608,0.053986177
304905053,-0.00018840417,0.10458578
304906018,-0.00018833857,0.1046519
304907004,-0.00018849903,0.10449016
304908013,-0.00019226228,0.100697115
304909019,-0.00019572659,0.097205356
304909020,-0.00018841194,0.10457794
304910017,-0.00019386369,0.09908302
304911007,-0.00018833857,0.1046519
304911060,-0.00018833857,0.1046519
304913016,-0.00018798088,0.10501242
304913020,-0.00019159676,0.101367906
304914004,-0.00018833857,0.1046519
304916003,-0.00018565096,0.107360795
304916021,-0.00018833857,0.1046519
304917029,-0.00018833857,0.1046519
304919020,-0.00019732382,0.095595464
304920012,-0.00025712128,0.035324305
304926019,-0.00018833857,0.1046519
304926024,-0.00019853344,0.094376266
304926035,-0.00020791977,0.08491558
304926039,-0.00018937007,0.10361223
304932004,-0.00018857731,0.104411274
305403018,-0.00018833857,0.1046519
305404003,-0.00018833857,0.1046519
305405029,-0.00014701072,0.14630714
305406023,-0.00018833857,0.1046519
305407004,-0.00016162955,0.1315725
305408021,-0.00018833857,0.1046519
305409005,-0.0002062437,0.08660492
305413013,-0.00018833857,0.1046519
305413024,-0.00018833857,0.1046519
305415031,-0.00018952927,0.10345177
305416001,-0.00018833857,0.1046519
305416010,-0.00018833857,0.1046519
305416027,-0.00018833857,0.1046519
305419004,-0.00018917573,0.103808105
306901013,-0.00018833857,0.1046519
306902010,-0.00023362285,0.05900888
306904007,-0.00019706998,0.09585132
306904008,-0.00018833857,0.1046519
306904021,-0.00020645744,0.0863895
306905035,-0.00019939514,0.09350774
306906029,-0.00018833857,0.1046519
306907019,-0.00018833857,0.1046519
306909020,-0.00018833857,0.1046519
306910016,-0.00018833857,0.1046519
306911013,-0.00018833857,0.1046519
306915021,-0.00021208171,0.08072068
306916046,-0.00011533395,0.17823485
306918004,-0.00019385382,0.09909296
306918005,-0.00018253559,0.11050086
306918013,-0.00023525955,0.05735922
307101022,-0.00020202767,0.09085435
307101032,-0.00023655428,0.056054235
307103015,-0.0001871794,0.10582025
307104011,-0.00019664467,0.09627999
307105003,-0.00018833857,0.1046519
307106006,-6.520564e-05,0.22876026
307109014,-0.00018833857,0.1046519
307111017,-0.00019023624,0.1027392
307111019,-0.00018833857,0.1046519
307113024,-0.00018833857,0.1046519
307114004,-3.2035856e-05,0.26219282
307701009,-0.00018206664,0.11097352
307701010,-0.00029216797,0.0
307707006,-0.00024038492,0.052193254
307707025,-0.00018389372,0.10913196
307707031,-0.00021736915,0.07539135
330100003,-0.00018845154,0.10453804
330100021,-0.00018833857,0.1046519
331400006,-0.00018922059,0.103762895
401002015,-0.00026532207,0.027058542
401003009,-0.00019088003,0.1020903
401003037,-0.00018662696,0.106377065
401007006,-0.00018833857,0.1046519
401008027,-0.00019497999,0.097957864
401010017,-0.0001909681,0.10200153
401011017,-0.00018542788,0.10758564
401013003,-0.0002618349,0.030573338
401013019,-0.00018833857,0.1046519
401014038,-0.00018833857,0.1046519
401014042,-0.00019486433,0.098074436
401019007,-0.00016109156,0.13211475
401019022,-0.00021688754,0.07587677
401019042,-0.000195114,0.0978228
401021032,-0.00018833857,0.1046519
401021033,-0.00018833857,0.1046519
401022022,-0.00019214759,0.1008127
401023029,-0.00020696131,0.085881636
401023034,-0.00020488842,0.08797094
401031043,-0.00018959389,0.103386626
401031049,-0.00018842742,0.10456234
401034008,-0.00021002782,0.08279084
402102016,-0.0002022219,0.09065859
402103004,-0.00018833857,0.1046519
402106008,-0.00018833857,0.1046519
402106056,-0.00018403611,0.10898845
402108004,5.056404e-06,0.2995789
402108012,-0.00019103326,0.10193586
402108014,-0.00018833857,0.1046519
402108021,-0.00019584098,0.09709005
402108027,-0.00018576423,0.10724662
402108028,-0.00018833857,0.1046519
402109028,-0.00018833857,0.1046519
402109053,-0.00018833857,0.1046519
402109059,-3.763999e-05,0.25654426
402110023,-0.0002017938,0.09109008
402110034,-0.00022912536,0.06354201
402113008,-0.00019324059,0.099711046
402115023,-0.00018833857,0.1046519
402118020,-0.00018922442,0.103759035
402118032,-0.00019585309,0.09707785
402118040,-0.00019011731,0.102859065
402119008,-0.00023468815,0.05793515
402120002,-0.00019318724,0.099764824
402120006,-0.00018833857,0.1046519
402120016,-0.00018833857,0.1046519
402120024,-0.00019873057,0.094177574
402120027,-0.00020198453,0.09089784
402121001,-0.00019933036,0.093573034
402122011,-0.00019942851,0.093474105
403404006,-0.0002709607,0.021375239
403404014,-0.00018328651,0.10974398
403404015,-0.00019072845,0.102243096
403404017,-0.00018833857,0.1046519
403405026,-0.00018844809,0.10454151
403405052,-0.000138229,0.15515842
403406003,-0.00020221373,0.090666816
403407015,-0.0002030743,0.089799434
403409003,-0.00024735864,0.045164287
403410018,-0.00022666015,0.06602675
403411014,-0.00020154509,0.091340765
403417034,-0.00018833857,0.1046519
403421002,-0.0001127641,0.18082505
403421004,-0.0002143503,0.07843411
403422004,-0.00018833857,0.1046519
403424007,-0.00018833857,0.1046519
403424008,-0.00018833857,0.1046519
403424031,-0.00018833857,0.1046519
403425011,-0.00018833857,0.1046519
403427020,-0.00018833857,0.1046519
403428012,-0.00018833857,0.1046519
403428020,-0.00018809093,0.10490151
403429013,-0.00013835896,0.15502743
403429022,-0.00018131682,0.11172928
403430010,-0.00018842856,0.104561195
405603005,-0.0001650401,0.12813494
405607015,-0.00015289141,0.14037986
405608001,-0.00018833857,0.1046519
405608019,-0.0001985693,0.09434013
405616009,-3.6456786e-05,0.25773686
405619041,-0.00018833857,0.1046519
405622008,-0.00020137828,0.091508895
405641014,-0.00020000171,0.09289636
405647032,-0.00021007699,0.082741275
405647057,-0.0001927958,0.10015936
405802008,-0.0002380196,0.054577306
405802009,-9.067303e-05,0.20309111
405803010,-0.0002672018,0.025163919
405804007,-7.8930476e-05,0.21492669
405804013,-0.00017971557,0.11334321
405804020,-1.6179032e-05,0.27817523
405804024,-0.00017494541,0.11815116
405804035,-0.00017532845,0.117765084
405805014,-0.00018833857,0.1046519
405806022,-0.00020499248,0.08786605
405807015,-0.00014019791,0.15317392
405809006,-0.00020751508,0.08532347
405809008,-0.00020782425,0.085011855
405810001,-0.00023886551,0.05372469
405811006,-0.00020615228,0.08669707
405811013,-0.00018905647,0.10392831
405812012,-0.0001900874,0.10288921
405813002,-0.0001600037,0.13321123
431200008,-0.00018833857,0.1046519
431200011,-0.00018833857,0.1046519
500502047,-0.0001916758,0.10128823
500503048,-0.00018833857,0.1046519
500506041,-0.00018833857,0.1046519
500506049,-0.00023036942,0.06228809
500507007,-0.00019832449,0.09458688
500508015,-0.00021738367,0.075376704
500508023,-0.00018833857,0.1046519
500510014,-0.00018280656,0.110227734
500512026,-0.00018919595,0.10378772
500513026,-0.00021051988,0.08229487
500513029,-0.00018777294,0.10522202
500514013,-0.00019389608,0.09905036
500516011,-0.00022169384,0.07103239
500518028,-0.00018524699,0.10776797
501606035,-0.00015252628,0.14074789
501606046,-0.00018833857,0.1046519
501701016,-0.0002256714,0.06702332
501705023,-5.258211e-05,0.2414838
501707009,-0.0002469672,0.04555884
501708001,-0.00024036334,0.052214995
501708028,-0.0002030453,0.089828655
501716025,-0.00018833857,0.1046519
501716030,-0.00021054322,0.08227135
501722024,-0.0002380435,0.05455321
501723033,-0.00015840073,0.1348269
501724012,-0.00018712894,0.10587111
501724013,-0.00018833857,0.1046519
501725016,-0.00019257884,0.10037804
501727017,-1.1510909e-05,0.28288034
501728001,-0.00018869127,0.104296416
501728020,-0.000188903,0.104083
501728026,-0.00021855677,0.07419431
501731014,-0.00017684257,0.11623897
501733023,-0.00018833857,0.1046519
501734040,-0.00018013922,0.1129162
501734043,-0.00017838704,0.11468226
501736015,-0.00018833857,0.1046519
502005008,-0.0001479567,0.14535366
502010020,-0.00020044898,0.09244555
504105027,-0.00018746594,0.10553144
